"genome","chr","start","end","block","identity"
"A","A4",15680490,15680490,"B19",85.07
"B","B4",15139926,15139926,"B19",85.07
"A","A4",19123305,19123305,"B20",81.09
"B","B4",20972076,20972076,"B20",81.09
"A","A4",16773853,16773853,"B20",82.49
"B","B4",22685059,22685059,"B20",82.49
"A","A4",22094625,22094625,"B20",82.88
"B","B4",18962252,18962252,"B20",82.88
"A","A4",17706319,17706319,"B20",81.9
"B","B4",23114686,23114686,"B20",81.9
"A","A4",19393741,19393741,"B20",83.34
"B","B4",21065375,21065375,"B20",83.34
"A","A4",19511370,19511370,"B20",78.36
"B","B4",20752357,20752357,"B20",78.36
"A","A4",20782826,20782826,"B20",79.03
"B","B4",19696716,19696716,"B20",79.03
"A","A4",21755442,21755442,"B20",80.52
"B","B4",19209435,19209435,"B20",80.52
"A","A4",16230675,16230675,"B20",82.02
"B","B4",23853381,23853381,"B20",82.02
"A","A4",22194430,22194430,"B20",79.75
"B","B4",18738175,18738175,"B20",79.75
"A","A4",18855909,18855909,"B20",81.7
"B","B4",21468983,21468983,"B20",81.7
"A","A4",23381247,23381247,"B20",80.55
"B","B4",18170121,18170121,"B20",80.55
"A","A4",20062684,20062684,"B20",82.27
"B","B4",20781472,20781472,"B20",82.27
"A","A4",21474084,21474084,"B20",81.09
"B","B4",19458706,19458706,"B20",81.09
"A","A4",21636134,21636134,"B20",84.97
"B","B4",18519789,18519789,"B20",84.97
"A","A4",19700768,19700768,"B20",85.68
"B","B4",20554789,20554789,"B20",85.68
"A","A4",20931360,20931360,"B20",77.26
"B","B4",19667500,19667500,"B20",77.26
"A","A4",17398153,17398153,"B20",81.89
"B","B4",22444200,22444200,"B20",81.89
"A","A4",19206022,19206022,"B20",79.68
"B","B4",21133280,21133280,"B20",79.68
"A","A4",20713883,20713883,"B20",77.81
"B","B4",20171705,20171705,"B20",77.81
"A","A4",17573173,17573173,"B20",82.5
"B","B4",22940291,22940291,"B20",82.5
"A","A4",19293204,19293204,"B20",80.53
"B","B4",21339492,21339492,"B20",80.53
"A","A4",19288403,19288403,"B20",79.61
"B","B4",21347355,21347355,"B20",79.61
"A","A4",17973410,17973410,"B20",81.51
"B","B4",22759712,22759712,"B20",81.51
"A","A4",19939148,19939148,"B20",78.77
"B","B4",20753838,20753838,"B20",78.77
"A","A4",20600339,20600339,"B20",80.13
"B","B4",20109594,20109594,"B20",80.13
"A","A4",21830217,21830217,"B20",76.79
"B","B4",20107183,20107183,"B20",76.79
"A","A4",17619545,17619545,"B20",85.24
"B","B4",22950551,22950551,"B20",85.24
"A","A4",23626452,23626452,"B20",82.02
"B","B4",17630453,17630453,"B20",82.02
"A","A4",16480934,16480934,"B20",79.99
"B","B4",24011744,24011744,"B20",79.99
"A","A4",19671298,19671298,"B20",86.4
"B","B4",20477787,20477787,"B20",86.4
"A","A4",22135172,22135172,"B20",80.53
"B","B4",19036740,19036740,"B20",80.53
"A","A4",21839977,21839977,"B21",95.35
"B","B4",24425231,24425231,"B21",95.35
"A","A4",18858606,18858606,"B21",93.22
"B","B4",21327037,21327037,"B21",93.22
"A","A4",25724402,25724402,"B21",95.03
"B","B4",28176913,28176913,"B21",95.03
"A","A4",19915721,19915721,"B21",94.32
"B","B4",23809641,23809641,"B21",94.32
"A","A4",19841325,19841325,"B21",93.05
"B","B4",22493391,22493391,"B21",93.05
"A","A4",26821122,26821122,"B21",92.27
"B","B4",29730391,29730391,"B21",92.27
"A","A4",19250334,19250334,"B21",89.93
"B","B4",22131803,22131803,"B21",89.93
"A","A4",21416910,21416910,"B21",92.47
"B","B4",24967024,24967024,"B21",92.47
"A","A4",19639625,19639625,"B21",91.18
"B","B4",22039373,22039373,"B21",91.18
"A","A4",20540906,20540906,"B21",94.35
"B","B4",23313102,23313102,"B21",94.35
"A","A4",19914659,19914659,"B21",92.8
"B","B4",22321828,22321828,"B21",92.8
"A","A4",27601459,27601459,"B21",95.21
"B","B4",29901318,29901318,"B21",95.21
"A","A4",19821522,19821522,"B21",94.21
"B","B4",23111716,23111716,"B21",94.21
"A","A4",26662004,26662004,"B21",97.03
"B","B4",29372511,29372511,"B21",97.03
"A","A4",23184866,23184866,"B21",93.97
"B","B4",25452354,25452354,"B21",93.97
"A","A4",21459062,21459062,"B21",94.14
"B","B4",23684313,23684313,"B21",94.14
"A","A4",25145033,25145033,"B21",95.64
"B","B4",27853682,27853682,"B21",95.64
"A","A4",24461839,24461839,"B21",95.03
"B","B4",26476063,26476063,"B21",95.03
"A","A4",23053696,23053696,"B21",95.52
"B","B4",25875671,25875671,"B21",95.52
"A","A4",23782551,23782551,"B21",94.82
"B","B4",26726654,26726654,"B21",94.82
"A","A4",25831690,25831690,"B21",93.97
"B","B4",27750511,27750511,"B21",93.97
"A","A4",20536834,20536834,"B21",92.54
"B","B4",23561489,23561489,"B21",92.54
"A","A4",24703129,24703129,"B21",88.56
"B","B4",27764730,27764730,"B21",88.56
"A","A4",22098580,22098580,"B21",96.46
"B","B4",24778124,24778124,"B21",96.46
"A","A4",26690676,26690676,"B21",92.53
"B","B4",29670424,29670424,"B21",92.53
"A","A4",22915086,22915086,"B21",92.39
"B","B4",25021781,25021781,"B21",92.39
"A","A4",26097924,26097924,"B21",94.52
"B","B4",28633943,28633943,"B21",94.52
"A","A4",27821884,27821884,"B21",92.02
"B","B4",30844320,30844320,"B21",92.02
"A","A4",20853690,20853690,"B21",96.59
"B","B4",22936675,22936675,"B21",96.59
"A","A4",18220702,18220702,"B21",97.6
"B","B4",21289838,21289838,"B21",97.6
"A","A4",24474246,24474246,"B21",96.33
"B","B4",26654256,26654256,"B21",96.33
"A","A4",26466351,26466351,"B21",93.16
"B","B4",29378105,29378105,"B21",93.16
"A","A1",64011928,64011928,"B22",80.25
"B","B2",46480896,46480896,"B22",80.25
"A","A1",62978403,62978403,"B22",79.46
"B","B2",44854569,44854569,"B22",79.46
"A","A1",64412494,64412494,"B22",77.2
"B","B2",46263191,46263191,"B22",77.2
"A","A1",61900642,61900642,"B22",83.44
"B","B2",44273460,44273460,"B22",83.44
"A","A1",65558679,65558679,"B22",81.06
"B","B2",47556693,47556693,"B22",81.06
"A","A1",63948027,63948027,"B22",78.34
"B","B2",45602732,45602732,"B22",78.34
"A","A1",66231275,66231275,"B22",78.61
"B","B2",48152468,48152468,"B22",78.61
"A","A1",65742264,65742264,"B22",79.03
"B","B2",47696544,47696544,"B22",79.03
"A","A1",62368221,62368221,"B22",78.33
"B","B2",44133494,44133494,"B22",78.33
"A","A1",64436013,64436013,"B22",79.35
"B","B2",46516306,46516306,"B22",79.35
"A","A1",62133227,62133227,"B22",75.51
"B","B2",44537941,44537941,"B22",75.51
"A","A1",63264758,63264758,"B22",80
"B","B2",45750621,45750621,"B22",80
"A","A1",64271930,64271930,"B22",81.95
"B","B2",46969730,46969730,"B22",81.95
"A","A1",61734164,61734164,"B22",78.11
"B","B2",43960997,43960997,"B22",78.11
"A","A1",60930760,60930760,"B22",80.73
"B","B2",43384074,43384074,"B22",80.73
"A","A1",64863366,64863366,"B22",82.71
"B","B2",46768360,46768360,"B22",82.71
"A","A1",62840845,62840845,"B22",80.82
"B","B2",45217270,45217270,"B22",80.82
"A","A1",64699477,64699477,"B22",77.13
"B","B2",47104112,47104112,"B22",77.13
"A","A1",62190485,62190485,"B22",82.33
"B","B2",44191825,44191825,"B22",82.33
"A","A1",65005213,65005213,"B22",78.06
"B","B2",46974942,46974942,"B22",78.06
"A","A1",62203855,62203855,"B22",75.87
"B","B2",44670475,44670475,"B22",75.87
"A","A1",62435988,62435988,"B22",81.3
"B","B2",44607364,44607364,"B22",81.3
"A","A1",62086916,62086916,"B22",77.54
"B","B2",44434639,44434639,"B22",77.54
"A","A1",64131403,64131403,"B22",80.03
"B","B2",46429356,46429356,"B22",80.03
"A","A1",65342774,65342774,"B22",78.71
"B","B2",47271417,47271417,"B22",78.71
"A","A1",63738909,63738909,"B22",81.95
"B","B2",45700436,45700436,"B22",81.95
"A","A1",65624325,65624325,"B22",78.07
"B","B2",47104327,47104327,"B22",78.07
"A","A1",63033266,63033266,"B22",77.44
"B","B2",45220644,45220644,"B22",77.44
"A","A1",62914986,62914986,"B22",79.67
"B","B2",45925031,45925031,"B22",79.67
"A","A1",63403567,63403567,"B22",81.23
"B","B2",45760632,45760632,"B22",81.23
"A","A1",64017338,64017338,"B22",82.03
"B","B2",46100902,46100902,"B22",82.03
"A","A1",63895316,63895316,"B22",78.58
"B","B2",45601953,45601953,"B22",78.58
"A","A2",47938387,47938387,"B23",86.67
"B","B4",34062121,34062121,"B23",86.67
"A","A2",49173509,49173509,"B23",85.94
"B","B4",32574050,32574050,"B23",85.94
"A","A2",47001413,47001413,"B23",86.41
"B","B4",34456937,34456937,"B23",86.41
"A","A2",48607749,48607749,"B23",86.45
"B","B4",33438326,33438326,"B23",86.45
"A","A2",47215940,47215940,"B23",87.4
"B","B4",34498268,34498268,"B23",87.4
"A","A2",47421651,47421651,"B23",90.29
"B","B4",34161658,34161658,"B23",90.29
"A","A2",51162064,51162064,"B23",87.17
"B","B4",31256141,31256141,"B23",87.17
"A","A2",49780439,49780439,"B23",94.19
"B","B4",32672162,32672162,"B23",94.19
"A","A2",46601032,46601032,"B23",86.25
"B","B4",35138625,35138625,"B23",86.25
"A","A2",48107019,48107019,"B23",86.12
"B","B4",33717302,33717302,"B23",86.12
"A","A2",47876376,47876376,"B23",89.1
"B","B4",34371044,34371044,"B23",89.1
"A","A2",49972169,49972169,"B23",90.24
"B","B4",32588041,32588041,"B23",90.24
"A","A2",48424283,48424283,"B23",90.11
"B","B4",33402187,33402187,"B23",90.11
"A","A2",51088525,51088525,"B23",86.64
"B","B4",31635529,31635529,"B23",86.64
"A","A2",48694058,48694058,"B23",87.3
"B","B4",33298238,33298238,"B23",87.3
"A","A2",45928043,45928043,"B23",83.69
"B","B4",35696228,35696228,"B23",83.69
"A","A2",46249000,46249000,"B23",88.28
"B","B4",35662317,35662317,"B23",88.28
"A","A2",49441626,49441626,"B23",85.75
"B","B4",32591352,32591352,"B23",85.75
"A","A2",51395921,51395921,"B23",84.76
"B","B4",31244228,31244228,"B23",84.76
"A","A2",46568217,46568217,"B23",87.86
"B","B4",35140744,35140744,"B23",87.86
"A","A2",51562418,51562418,"B23",86.71
"B","B4",30932567,30932567,"B23",86.71
"A","A2",49154315,49154315,"B23",87.12
"B","B4",32590755,32590755,"B23",87.12
"A","A2",50754276,50754276,"B23",94.12
"B","B4",31515828,31515828,"B23",94.12
"A","A2",50577426,50577426,"B23",87.19
"B","B4",31747694,31747694,"B23",87.19
"A","A2",49267223,49267223,"B23",90.74
"B","B4",32881266,32881266,"B23",90.74
"A","A2",46261450,46261450,"B23",85.72
"B","B4",35441351,35441351,"B23",85.72
"A","A2",46682401,46682401,"B23",88.49
"B","B4",35045577,35045577,"B23",88.49
"A","A2",46215439,46215439,"B23",87.08
"B","B4",35336763,35336763,"B23",87.08
"A","A2",48064360,48064360,"B23",87.22
"B","B4",34075019,34075019,"B23",87.22
"A","A2",47897345,47897345,"B23",84.42
"B","B4",34077239,34077239,"B23",84.42
"A","A2",47885979,47885979,"B23",87.4
"B","B4",34227317,34227317,"B23",87.4
"A","A2",51487069,51487069,"B23",83.75
"B","B4",30950110,30950110,"B23",83.75
"A","A3",40758072,40758072,"B24",91.62
"B","B1",63057051,63057051,"B24",91.62
"A","A3",40666784,40666784,"B24",92.4
"B","B1",62270798,62270798,"B24",92.4
"A","A3",39590608,39590608,"B24",91.13
"B","B1",61228688,61228688,"B24",91.13
"A","A3",42463229,42463229,"B24",87.66
"B","B1",63318922,63318922,"B24",87.66
"A","A3",39715502,39715502,"B24",88.41
"B","B1",61071636,61071636,"B24",88.41
"A","A3",40467413,40467413,"B24",94.05
"B","B1",62003145,62003145,"B24",94.05
"A","A3",42677906,42677906,"B24",91.7
"B","B1",64220476,64220476,"B24",91.7
"A","A3",40862734,40862734,"B24",93.92
"B","B1",61991020,61991020,"B24",93.92
"A","A3",38723074,38723074,"B24",94.37
"B","B1",60198691,60198691,"B24",94.37
"A","A3",37682506,37682506,"B24",95.96
"B","B1",60025991,60025991,"B24",95.96
"A","A3",41714539,41714539,"B24",90.77
"B","B1",63518550,63518550,"B24",90.77
"A","A3",41648642,41648642,"B24",90.61
"B","B1",63138181,63138181,"B24",90.61
"A","A3",41218091,41218091,"B24",88.27
"B","B1",62415067,62415067,"B24",88.27
"A","A3",38357746,38357746,"B24",91.69
"B","B1",60537869,60537869,"B24",91.69
"A","A3",37630133,37630133,"B24",93.85
"B","B1",59731404,59731404,"B24",93.85
"A","A3",35541588,35541588,"B24",94.16
"B","B1",58367595,58367595,"B24",94.16
"A","A3",42374285,42374285,"B24",87.51
"B","B1",63259335,63259335,"B24",87.51
"A","A3",41038049,41038049,"B24",92.84
"B","B1",62688715,62688715,"B24",92.84
"A","A3",34993850,34993850,"B24",86.8
"B","B1",57054204,57054204,"B24",86.8
"A","A3",39448140,39448140,"B24",89.28
"B","B1",60553848,60553848,"B24",89.28
"A","A3",36140853,36140853,"B24",90.71
"B","B1",57879281,57879281,"B24",90.71
"A","A3",36635438,36635438,"B24",92.59
"B","B1",59669522,59669522,"B24",92.59
"A","A3",42142234,42142234,"B24",93.91
"B","B1",63512634,63512634,"B24",93.91
"A","A3",39421814,39421814,"B24",94.1
"B","B1",61352932,61352932,"B24",94.1
"A","A3",40507575,40507575,"B24",93.25
"B","B1",62341836,62341836,"B24",93.25
"A","A3",40443458,40443458,"B24",92.91
"B","B1",61671294,61671294,"B24",92.91
"A","A3",36614122,36614122,"B24",91.9
"B","B1",58632466,58632466,"B24",91.9
"A","A3",38923279,38923279,"B24",92.77
"B","B1",60442158,60442158,"B24",92.77
"A","A3",37056291,37056291,"B24",89.55
"B","B1",59469636,59469636,"B24",89.55
"A","A3",37324495,37324495,"B24",91.18
"B","B1",58792787,58792787,"B24",91.18
"A","A3",41432562,41432562,"B24",91.85
"B","B1",63087763,63087763,"B24",91.85
"A","A3",39608462,39608462,"B24",90.34
"B","B1",61139448,61139448,"B24",90.34
"A","A4",28913979,28913979,"B25",84.14
"B","B2",51101815,51101815,"B25",84.14
"A","A4",29832832,29832832,"B25",82.35
"B","B2",52813329,52813329,"B25",82.35
"A","A4",28433855,28433855,"B25",81.11
"B","B2",51335720,51335720,"B25",81.11
"A","A4",28432757,28432757,"B25",81.58
"B","B2",51074169,51074169,"B25",81.58
"A","A4",33152725,33152725,"B25",81.29
"B","B2",55063797,55063797,"B25",81.29
"A","A4",27602291,27602291,"B25",79.89
"B","B2",49931732,49931732,"B25",79.89
"A","A4",30376809,30376809,"B25",85.58
"B","B2",52805663,52805663,"B25",85.58
"A","A4",31113683,31113683,"B25",83
"B","B2",53320617,53320617,"B25",83
"A","A4",30328765,30328765,"B25",78.65
"B","B2",52317971,52317971,"B25",78.65
"A","A4",30895740,30895740,"B25",82.57
"B","B2",52798980,52798980,"B25",82.57
"A","A4",28468796,28468796,"B25",80.24
"B","B2",50558341,50558341,"B25",80.24
"A","A4",28492457,28492457,"B25",81.9
"B","B2",50725211,50725211,"B25",81.9
"A","A4",29951272,29951272,"B25",84.91
"B","B2",51933134,51933134,"B25",84.91
"A","A4",27420478,27420478,"B25",80.06
"B","B2",50308710,50308710,"B25",80.06
"A","A4",31311789,31311789,"B25",80.49
"B","B2",53831954,53831954,"B25",80.49
"A","A4",29162439,29162439,"B25",81.6
"B","B2",51891920,51891920,"B25",81.6
"A","A4",31424413,31424413,"B25",83.01
"B","B2",53827874,53827874,"B25",83.01
"A","A4",29367807,29367807,"B25",82.55
"B","B2",51661567,51661567,"B25",82.55
"A","A4",28223348,28223348,"B25",84.45
"B","B2",51018376,51018376,"B25",84.45
"A","A4",29998715,29998715,"B25",79.01
"B","B2",52598256,52598256,"B25",79.01
"A","A4",30179981,30179981,"B25",83.29
"B","B2",52801730,52801730,"B25",83.29
"A","A4",30744210,30744210,"B25",79.57
"B","B2",52927629,52927629,"B25",79.57
"A","A4",28428657,28428657,"B25",79.53
"B","B2",50948801,50948801,"B25",79.53
"A","A4",29863168,29863168,"B25",83.41
"B","B2",52163095,52163095,"B25",83.41
"A","A4",28042707,28042707,"B25",83.22
"B","B2",51140263,51140263,"B25",83.22
"A","A4",30965226,30965226,"B25",82.08
"B","B2",53121797,53121797,"B25",82.08
"A","A4",27099350,27099350,"B25",83.4
"B","B2",49524592,49524592,"B25",83.4
"A","A4",29969758,29969758,"B25",79.31
"B","B2",52403701,52403701,"B25",79.31
"A","A4",28297488,28297488,"B25",80.49
"B","B2",50520481,50520481,"B25",80.49
"A","A4",32022355,32022355,"B25",79.61
"B","B2",54206566,54206566,"B25",79.61
"A","A4",31917888,31917888,"B25",80.32
"B","B2",54131181,54131181,"B25",80.32
"A","A4",30047392,30047392,"B25",81.36
"B","B2",52042504,52042504,"B25",81.36
